Gene Category System Organelle
RPAP3 coHSP90 HSP90_system Cytonuclear
SGTA coHSP90 HSP90_system Cytonuclear
SGTB coHSP90 HSP90_system Cytonuclear
SPAG1 coHSP90 HSP90_system Cytonuclear
ST13 coHSP90 HSP90_system Cytonuclear
STIP1 coHSP90 HSP90_system Cytonuclear
STUB1 coHSP90 HSP90_system Cytonuclear
TOMM34 coHSP90 HSP90_system Cytonuclear
TOMM70 coHSP90 HSP90_system Cytonuclear
TTC1 coHSP90 HSP90_system Cytonuclear
TTC4 coHSP90 HSP90_system Cytonuclear
UNC45A coHSP90 HSP90_system Cytonuclear
UNC45B coHSP90 HSP90_system Cytonuclear
FKBP4 coHSP90 HSP90_system Cytonuclear
FKBP5 coHSP90 HSP90_system Cytonuclear
FKBP6 coHSP90 HSP90_system Cytonuclear
FKBP8 coHSP90 HSP90_system Cytonuclear
PPID coHSP90 HSP90_system Cytonuclear
DNAAF4 coHSP90 HSP90_system Cytonuclear
SUGT1 coHSP90 HSP90_system Cytonuclear
AHSA1 coHSP90 HSP90_system Cytonuclear
CDC37 coHSP90 HSP90_system Cytonuclear
CDC37L1 coHSP90 HSP90_system Cytonuclear
FNIP1 coHSP90 HSP90_system Cytonuclear
FNIP2 coHSP90 HSP90_system Cytonuclear
PDCL3 coHSP90 HSP90_system Cytonuclear
S100A1 coHSP90 HSP90_system Cytonuclear
TSC1 coHSP90 HSP90_system Cytonuclear
ZMYND10 coHSP90 HSP90_system Cytonuclear
HSPA5 HSP70 HSP70_system ER
HSPA13 HSP70 HSP70_system ER
DNAJB9 HSP40 HSP70_system ER
DNAJB11 HSP40 HSP70_system ER
DNAJB12 HSP40 HSP70_system ER
DNAJB13 HSP40 HSP70_system ER
DNAJB14 HSP40 HSP70_system ER
DNAJC1 HSP40 HSP70_system ER
DNAJC3 HSP40 HSP70_system ER
DNAJC5 HSP40 HSP70_system ER
DNAJC5B HSP40 HSP70_system ER
DNAJC5G HSP40 HSP70_system ER
DNAJC10 HSP40 HSP70_system ER
DNAJC14 HSP40 HSP70_system ER
DNAJC18 HSP40 HSP70_system ER
SEC63 HSP40 HSP70_system ER
DNAJC28 HSP40 HSP70_system ER
HYOU1 HSP70 HSP70_system ER
SIL1 HSP70 HSP70_system ER
FICD HSP70 HSP70_system ER
HSP90B1 HSP90 HSP90_system ER
BSG other other ER
EMB other other ER
RIC3 other other ER
HSPA9 HSP70 HSP70_system Mitochondrial
DNAJA3 HSP40 HSP70_system Mitochondrial
DNAJC11 HSP40 HSP70_system Mitochondrial
DNAJC15 HSP40 HSP70_system Mitochondrial
DNAJC19 HSP40 HSP70_system Mitochondrial
HSCB HSP40 HSP70_system Mitochondrial
DNAJC30 HSP40 HSP70_system Mitochondrial
GRPEL1 HSP70 HSP70_system Mitochondrial
GRPEL2 HSP70 HSP70_system Mitochondrial
HSPD1 HSP60 HSP60_system Mitochondrial
HSPE1 HSP10 HSP60_system Mitochondrial
HSPE1-MOB4 HSP10 HSP60_system Mitochondrial
TRAP1 HSP90 HSP90_system Mitochondrial
HSPB1 sHSP sHSP_system Mitochondrial
HSPB2 sHSP sHSP_system Mitochondrial
HSPB3 sHSP sHSP_system Mitochondrial
CRYAB sHSP sHSP_system Mitochondrial
HSPB8 sHSP sHSP_system Mitochondrial
CLPB HSP100 disaggregase Mitochondrial
TIMM8A Small_intermembrane_space_chaperone other Mitochondrial
TIMM8B Small_intermembrane_space_chaperone other Mitochondrial
TIMM9 Small_intermembrane_space_chaperone other Mitochondrial
TIMM10 Small_intermembrane_space_chaperone other Mitochondrial
TIMM10B Small_intermembrane_space_chaperone other Mitochondrial
TIMM13 Small_intermembrane_space_chaperone other Mitochondrial
PHB1 Membrane_protein_chaperone other Mitochondrial
PHB2 Membrane_protein_chaperone other Mitochondrial
ASF1A Histone_chaperone other Nuclear
ASF1B Histone_chaperone other Nuclear
MCM2 Histone_chaperone other Nuclear
TONSL Histone_chaperone other Nuclear
RBBP7 Histone_chaperone other Nuclear
IPO4 Histone_chaperone other Nuclear
NASP Histone_chaperone other Nuclear
HAT1 Histone_chaperone other Nuclear
SPTY2D1 Histone_chaperone other Nuclear
SUPT6H Histone_chaperone other Nuclear
ANP32E Histone_chaperone other Nuclear
VPS72 Histone_chaperone other Nuclear
HJURP Histone_chaperone other Nuclear
SET Histone_chaperone other Nuclear
NAP1L1 Histone_chaperone other Nuclear
NAP1L2 Histone_chaperone other Nuclear
NAP1L3 Histone_chaperone other Nuclear
NAP1L4 Histone_chaperone other Nuclear
NAP1L5 Histone_chaperone other Nuclear
NPM1 Histone_chaperone other Nuclear
NPM2 Histone_chaperone other Nuclear
NPM3 Histone_chaperone other Nuclear
NCL Histone_chaperone other Nuclear
CHAF1A Histone_chaperone other Nuclear
CHAF1B Histone_chaperone other Nuclear
RBBP4 Histone_chaperone other Nuclear
HIRA Histone_chaperone other Nuclear
UBN1 Histone_chaperone other Nuclear
CABIN1 Histone_chaperone other Nuclear
SUPT16H Histone_chaperone other Nuclear
SSRP1 Histone_chaperone other Nuclear
DAXX Histone_chaperone other Nuclear
ATRX Histone_chaperone other Nuclear
