	P	GABA1	Pulv	K2	GABA4	GABA3
ZZEF1	103.17901033653833	133.77569999999997	90.06770097560978	85.7396018181818	95.50144285714285	128.1810846153846
DSP	4.8661	0.0	0.0	0.0	0.0	89.5035
UBR5	388.33900185497436	298.8738363636364	496.7806985454546	429.0681513888889	387.073168	504.50411609195396
NIPBL	308.56455631399336	395.04044358974363	297.9350902985074	300.21307042253517	374.010496	343.41941394422315
PRRC2C	839.6093752808983	781.512396226415	816.1765789090911	1082.5531150684926	926.7462160000001	1018.8990000000006
TNRC18	69.62176202247191	168.27239019607845	84.14891210937499	78.8678580645161	82.89513888888888	94.13707544642855
ITPR1	99.75672986577182	160.31398181818187	134.44690854271354	135.2499476923077	118.98817499999997	116.85397387387388
CENPF	124.98819716981127	0.0	213.22880833333332	104.91493846153845	0.0	165.7405375
TENM4	170.75507479508218	309.1984139534883	370.3173018315016	228.13275757575758	180.07246363636366	157.32208780487804
BOD1L1	652.7176393739697	504.68753137254913	823.3311025547441	621.7653561643838	718.8101347826087	639.4560352713175
TENM1	131.50967648648648	212.41733000000005	185.44919083333332	121.73353749999997	69.658525	95.3599787878788
APC	543.418941243863	498.7126744680849	424.94340874524715	399.53323888888895	461.4892124999999	568.9531638888886
TENM3	104.6629467391305	28.950699999999998	120.97404470046085	126.54833207547168	145.6612	102.00486634615382
LRBA	159.50690520833334	147.88101428571426	153.36355080213895	87.44217906976742	145.17605454545455	154.9348945736434
MEGF8	197.007185831622	393.45697173913055	192.96633607305938	241.4677621212121	202.31305454545452	281.7443350877193
FLNC	46.05214545454547	0.0	82.47321666666667	69.4348	0.0	53.80235
TENM2	632.6085646774195	373.9499032258065	559.7263712727271	390.30021805555555	151.63556666666668	140.70262435897433
PIEZO2	146.60240583657585	317.708038095238	153.21681311475407	209.18492291666658	107.68156666666668	125.0676608695652
ITPR2	992.4636479871181	221.23524375000002	687.2083817518243	483.6989549295775	76.6964	147.66496538461539
PRUNE2	182.8735876213593	139.34819	155.15709296875005	206.33282931034478	177.04396923076922	198.97163050847473
ITPR3	48.20958888888889	0.0	52.9395	0.0	38.2681	37.05272
CHD6	402.90061050847453	500.7625829787233	367.8522664179103	458.9767452054796	446.35455199999996	437.73192908366536
SRRM2	0.0	0.0	0.0	0.0	0.0	0.0
VWF	200.8325	0.0	0.0	0.0	0.0	4.9704999999999995
HECTD1	257.72639301470593	347.21563823529425	257.24732270916337	246.55811194029855	174.0956210526316	263.5888269607842
ZNF292	545.8262909836068	654.3781612244896	653.6808774545459	662.890590410959	592.0600458333333	647.4653188461541
FLNA	67.95335876288662	127.27037916666666	90.27793333333334	25.801899999999996	78.84160769230769	106.75891477272727
UTP20	116.565938	94.77382727272729	109.30195944055941	108.90072500000001	352.72921428571425	66.72222043010755
USP24	161.35033316062177	235.20938333333334	156.014167204301	137.3356230769231	117.6523666666667	164.76769240506331
NSD1	368.0814413379072	359.86376666666666	371.5848513307984	381.63381884057975	396.9353869565218	447.125593248945
NOTCH1	26.918889999999998	3.9693	0.0	0.0	0.0	29.54733333333333
ATR	320.94129537366564	169.1267076923077	358.13966436781624	253.57603278688526	504.2261583333334	604.2179393700789
MKI67	18.48855	0.0	0.0	0.0	0.0	171.9136
NBEAL1	190.99759919839667	227.93911428571434	169.43523756097565	171.67254655172414	166.96453333333335	204.11558545454542
USP9X	125.61289076923083	233.6164	136.21862912621353	161.97541111111107	191.94620625	139.68677872340427
CHD8	197.5353449908926	172.4581305555555	222.42071872659173	253.7773309859155	211.92522	200.03101066666662
ANKRD17	348.9090149741823	279.7441390243903	334.8408743396226	365.1478714285714	372.6104636363636	394.540419367589
MTOR	186.2227327198363	150.3674366666667	217.4555108786611	158.56688461538465	287.53717647058824	262.07050844444444
FLNB	215.7919809174311	231.5676435897436	206.39286422764226	250.00197323943667	292.29474999999996	133.4179636363637
MAP1A	1148.6176798711747	914.3063392156864	1286.9546274368229	1142.3821780821918	567.1428291666666	518.1697605577692
ZNF462	87.96339756756753	205.79453947368418	151.43430517928292	138.21952535211273	128.8829352941177	147.26184977375559
NOTCH2	71.59648695652176	15.2125	73.77972063492064	85.21095	32.7161	213.80085
ABCA12	16.0985	5.0708	6.5948	150.5601	0.0	37.588750000000005
JMJD1C	831.1739867098865	426.669572	779.9579810909088	645.1368739726028	480.0899772727273	408.74902182539665
CREBBP	0.0	0.0	0.0	0.0	0.0	0.0
TLN1	152.15069445676258	118.79282	207.63662103174613	154.74350606060605	208.421365	146.1160483146068
SPTAN1	555.0032734959354	514.3352540000001	474.78350547445234	461.9388597222221	284.3427863636364	342.69826367346934
PCNT	247.08710836734704	235.24170645161294	194.12028421052636	150.39249245283025	193.98536153846152	229.2212949685534
SETD2	323.1923166965893	480.70683548387103	318.33500247933875	288.38211285714294	268.70081176470586	325.4347126829269
HIVEP1	103.01235168067227	206.3264766666667	117.55680684931504	96.2542344827586	206.42181111111117	195.78413070175432
EPG5	106.80890649038466	170.7416272727273	98.07555961538459	101.15323962264152	123.10558571428574	104.24481595744685
STAB1	6.9354	14.1331	0.0	0.0	0.0	66.49883333333334
AKAP13	159.7301414634147	107.21473749999998	156.72342878787885	173.36422040816325	235.40702000000002	198.75124127906972
CENPE	109.45516790123452	221.10823999999997	152.49069913793102	142.857124	272.544025	170.244545945946
NBEAL2	56.097910344827575	31.66155	36.607440000000004	61.35089285714285	45.5282	30.854020000000002
FN1	69.75143333333331	88.25545555555556	53.611155555555555	105.39143437500002	40.779822222222215	33.451899999999995
EP300	183.22637777777769	156.63666388888893	181.36237539682543	168.34340476190476	247.58107222222225	221.4844390041495
ATRX	707.804647557003	740.3855568627449	749.5048407272727	807.7917684931508	1014.6383640000001	892.6742217228461
MYO9A	238.8658894833948	305.5740923076923	268.90836935483867	224.62042394366202	400.9298299999999	267.29143221153845
UNC79	292.5811244932436	200.37314705882355	240.41035058823525	208.0963859375	313.8379769230769	265.46447983539093
EIF4EBP3	92.58586121495327	144.63749	80.91614999999997	102.174215	112.22264999999999	110.52953551401865
PDZD2	96.33443674698792	142.92755384615387	104.1403028248588	99.83106250000003	251.15675882352946	200.31180829015543
CUL9	174.81596506550227	130.59275000000002	126.81798770053481	172.92663548387094	137.55938235294118	135.5688158536585
TTC28	95.71944000000008	187.34541666666664	87.9391771812081	82.26606818181821	155.81705624999998	224.94063766816143
NCOR1	405.784765210084	391.42798399999987	491.16096814814784	411.09013972602725	367.27573181818184	372.3659442687748
ZFHX2	125.576299122807	202.49667142857137	110.57127647058826	120.88491754385964	96.3302	149.4078125
NCOR2	150.29352778827976	272.1604875	163.2311469635627	254.51424647887325	137.62592941176467	183.3368169421487
ZFYVE26	113.7840904132231	88.6099156862745	91.80122720588233	95.07840555555555	154.72557692307694	101.3804362595421
TLN2	152.8484014184397	134.03110526315788	129.42053088235295	147.99818444444443	153.733825	182.86155155279505
CNOT1	0.0	0.0	0.0	0.0	0.0	0.0
SETX	290.23457554240633	325.29855185185187	346.425950406504	259.0992499999999	397.27344090909077	333.98924764150934
PRPF8	166.6092458515283	194.16766285714283	198.11920976744187	189.89299999999994	240.4496705882353	188.1125925742575
HIVEP2	259.616686381323	290.82398749999993	297.67421322957216	227.67864999999998	387.06889523809525	306.8213679824562
PKD1L1	11.10405	0.0	10.6298	0.0	0.0	57.40505
TG	23.11518	0.0	29.387819999999998	42.1048	5.4783	23.5445
MAST4	109.08381294964032	115.17908095238094	116.53682099999996	92.63457631578946	164.59214000000003	154.20918125000003
SPTBN1	280.4559993311035	170.60042972972968	199.58950676691742	240.89672463768122	178.4180772727273	188.93719429824557
BAHCC1	36.439594623655914	13.262416666666667	37.475939999999994	29.1645	98.003125	39.14834565217393
NAV2	188.62368316430025	371.05382173913034	265.4406669201522	182.7301015384616	543.0139041666666	322.5258883064516
ACACB	103.75880755813955	0.0	48.66913461538463	20.967066666666668	52.71171999999999	100.64642941176471
STAB2	7.177575	10.7849	23.650324999999995	37.10915	0.0	67.96271999999999
CACNA1A	240.49733399014775	228.37178913043488	207.0598189090909	244.99982602739732	139.03419999999997	223.91351411764714
LRRK2	132.91292800000002	183.37754166666664	126.6996946308725	93.05118043478261	92.49494285714286	116.80777452830193
TEP1	206.62054398148146	175.31616	165.45170454545453	157.40196122448978	208.78111111111113	174.29405352112676
MAP1B	2360.6692873600023	628.0304769230769	1764.0903826714807	1772.0674520547948	958.3080653846152	741.64364264151
ABCA2	125.6159105448154	80.64041555555553	128.532629389313	108.17535352112674	84.74661904761905	99.65843073593076
NOTCH3	22.143533333333334	0.0	12.733112499999999	26.401733333333336	0.0	17.448383333333336
POLQ	81.21609130434784	237.673225	43.121675	97.4748	281.1463	194.8208
CEP290	367.83709662162147	334.6991914285715	257.7344779166667	285.58715588235293	409.24260000000004	268.73051699029116
ANKRD11	0.0	0.0	0.0	0.0	0.0	0.0
PTPN13	171.78179740932646	412.6022666666667	105.9219755102041	59.975410526315784	313.56857142857143	162.07149354838714
CACNA1G	196.18030141093493	112.085859375	460.21578472727276	459.0821109589041	482.0780916666667	584.2311650190115
SPTBN2	114.10964960474317	104.93172790697675	134.609643083004	82.20664915254237	175.56966000000003	99.21516078431374
NAV3	260.8352967153286	190.38185806451614	356.7586575645755	297.4972464788733	342.197676	237.34757031963468
IGSF10	67.30675714285712	118.77013333333332	77.78297142857143	89.42179999999999	0.0	42.42242222222222
HELZ2	21.98885277777778	22.1618	32.63376428571429	10.6524	0.0	11.060415384615386
ARID1A	134.09279461883403	159.51789473684212	149.62410391304343	152.95181666666664	183.2554947368421	161.9300533333333
CACNA1B	182.22726337448552	337.3226152173912	276.1009088560885	396.3446694444444	342.8396730769231	293.1998692000001
OTOGL	6.1578	0.0	20.781	0.0	0.0	112.84212222222222
ACACA	137.43025355450234	144.91906285714288	104.80127090909093	96.42351276595744	134.0942	164.12879130434783
PCNX	0.0	0.0	0.0	0.0	0.0	0.0
TEX15	40.5756625	0.0	6.971933333333332	14.6746	6.371	6.427633333333333
IGF2R	128.55412597765348	105.13122068965517	101.34214910714284	90.26814583333335	52.094677777777775	133.04588674698803
PIEZO1	0.0	0.0	0.0	0.0	0.0	0.0
MYO18B	79.47974615384615	0.0	59.47838787878787	141.138575	0.0	65.80077272727273
SPG11	203.46828916827846	128.2713928571429	199.60188942731273	211.421473015873	232.26924210526317	223.4163289340101
TPR	259.50524258911815	250.09864523809523	266.20854208494217	243.46821549295768	223.25012999999998	276.88007047619067
NBAS	179.3978575063614	118.00036	161.75206981132072	179.13698571428571	158.4756470588235	214.59305950920256
CACNA1E	56.174333333333344	296.8240763157895	160.68374123711342	210.92678437500004	373.6402304347826	371.51115901639304
COL6A5	5.6555	0.0	0.0	0.0	16.358	0.0
BRWD1	544.8362661616164	415.74268139534877	703.8448196363637	615.3931890410956	483.7361521739131	429.7869502040818
ARID1B	133.21099461538464	170.63977142857144	124.49187739130433	109.07776515151512	213.00405789473686	179.13487609561744
POLE	44.98144000000001	29.346300000000003	11.091092000000002	12.7369875	12.33915	9.205805882352943
ROS1	8.0319	0.0	4.806	7.4343	0.0	8.41985
MYO7A	145.59189393939388	151.63536666666667	131.11351612903226	102.94446	165.6473	143.85023137254902
RIF1	212.3721555819477	296.98631388888884	327.8962288135595	148.33543392857146	119.99606470588236	261.205681920904
CEP250	155.46966112759645	165.98288518518518	144.54381456953644	162.34474782608694	135.86903333333333	174.17374666666674
MED13L	130.69491687242794	176.95587391304346	137.77668411214952	144.66810793650788	184.6096076923077	117.21379999999998
ABCA4	46.19245	5.4156	41.354875	5.2617	0.0	67.56924285714284
ABCA1	66.993425	35.3327	104.20154752475248	93.05822352941179	19.3628	56.13991428571429
MED12	79.93541835937506	102.6993857142857	89.7494401360544	86.3209611111111	93.04868000000002	79.32362647058825
PTPRZ1	222.19836110019637	155.14153	91.36756684782607	217.00916911764705	290.2430684210526	454.36740193798477
DNAJC13	145.77678229426436	133.53753636363638	123.3571279329609	143.5327903846154	116.58692500000001	153.74703489932887
BDP1	2380.5901441935475	1352.4856392156862	2182.3954657039694	2545.166795890411	1602.2902479999998	1331.489067169811
AKAP6	265.662979584121	525.1863219512195	448.1358058365762	318.08275322580636	377.8626478260869	375.1994805907172
SORL1	371.24167881773394	752.9501229166667	359.1226053030303	187.21480624999995	414.1766166666667	636.0837519379851
SON	1124.85370529695	725.5152076923077	934.2510108303246	1095.6306082191782	899.752642307692	999.1804218045119
CNTRL	182.75325625000002	393.17289999999997	142.84883096774192	151.89826226415096	264.86075555555556	197.77493905325443
PLCE1	134.42746315789464	181.65195999999997	60.832509090909106	102.80358333333334	60.95322	216.06139777777778
FASN	102.90994682080925	135.59508333333332	130.8353868421052	105.85257407407407	216.1050086956522	226.87027245762712
ASCC3	205.71633927893754	173.78407187500002	177.09682987551867	155.75759032258065	146.14186999999998	185.92252430939232
CAD	153.78395865384624	232.06316315789473	181.9179062146891	155.67740750000002	264.7936111111111	171.6256518181819
HIVEP3	106.01936908396952	112.914345	254.90645102880654	141.67394000000002	140.87583571428573	169.67801301369866
C2CD3	181.8941154175589	185.9885964285715	140.32838849999996	228.87902777777776	195.66342	180.50745655737705
MED13	114.47937556109719	202.42864444444444	127.72730164835161	93.97664444444443	116.19322307692308	142.11557465753415
SNRNP200	176.6130360526315	229.82819032258067	168.0507859756098	131.7651	139.59474375000002	205.18903125000003
CACNA1H	0.0	0.0	0.0	0.0	0.0	0.0
YLPM1	232.5296654411765	167.0386634146341	287.76464224806193	274.833344117647	208.0114238095238	312.4185351239668
WNK1	370.96145459016356	320.0780348837208	301.1101933579337	452.34981643835613	506.037244	268.37432217573235
F8	131.242994214876	258.94530000000003	110.29117924528298	81.30205000000001	272.912275	188.43781219512195
PRRC2B	81.09148749999997	111.06989423076924	126.5237677536231	205.4468835616438	153.57308846153845	136.5482789473684
CACNA1C	343.7332559210524	220.05689545454544	514.8333912727272	477.4774847222222	358.6557347826088	238.8313578059072
UNC13C	486.7328144851659	1148.0985583333334	293.13985260663503	14.491	909.9653636363636	1141.491984615385
PTPRQ	6.519375	0.0	50.791062499999995	10.6595	0.0	41.0101
APC2	85.20619415384621	163.45727619047616	101.5570732142857	109.9264709090909	101.45176153846154	118.63240992907798
CACNA1D	253.41464700854684	249.95481836734697	180.94440037593992	177.42735192307688	478.69644400000004	435.56125000000014
CSPG4	32.095980000000004	17.538899999999998	11.428800000000003	50.97477500000001	32.7161	18.6861
ZNF318	129.7789121212121	219.90526250000002	121.19417250000008	91.1953680851064	259.04271666666665	188.42705824742285
SPTA1	0.0	0.0	23.5936	0.0	16.358	0.0
DOCK10	88.16524	440.5661586956522	66.04263333333334	165.2295	132.91019999999997	152.68444591836732
DOCK7	313.70302805343533	284.18987777777767	285.7513483739838	333.10634090909105	167.18950625	232.67267650602403
TECTA	111.14195121107265	63.89196	84.95872783505155	95.74057586206895	192.29372	133.9011792207792
SDK2	52.825943333333335	121.10810000000001	123.3837	35.56186666666667	98.1483	35.04286
INTS1	132.36817324840757	147.2080888888889	186.0110321568627	131.4053245901639	200.11700555555555	143.93636046511625
BAZ2B	282.69995708955224	189.4969970588235	198.32398136363636	394.03922112676054	172.65002727272724	248.3727439560442
PI4KA	235.6057575591987	342.33328125	182.88336487603308	213.1625111111111	320.25926400000003	338.4429125000001
TNC	12.348466666666667	0.0	0.0	0.0	0.0	0.0
SDK1	12.26	17.109	0.0	17.5442	70.03953333333332	68.62421111111111
ASXL3	139.54026126126124	138.37954	97.1032375	84.89543170731707	221.09396	162.03675749999994
SHANK1	40.056724999999986	63.868129999999994	42.57022363636364	23.231422222222225	39.178866666666664	44.74395666666667
DOCK11	153.40883446475203	167.26034444444446	108.23511734693881	80.5854727272727	172.96937499999999	160.27771965811968
ZNF407	168.19467559999998	253.320975	211.06036715328466	150.57163720930237	254.02032	264.2447671052631
CIC	68.18854116279068	84.45312325581395	61.52540336538462	64.0475140350877	85.88957857142857	89.62662486187841
KNTC1	105.85111764705883	130.68136666666666	92.81766	52.4972	47.1556	145.4654090909091
SEC16A	135.66498248175176	103.73584000000001	137.93047871287135	131.83482941176473	104.47135625000003	154.69858703703702
