	Inh_L6_LAMP5_C1QL2	Exc_L3_5_LINC00507_SLN	Inh_L1_SST_CXCL14	Inh_L1_2_VIP_PPAPDC1A	Exc_L6_FEZF2_CPZ	Exc_L4_5_RORB_HNRNPA1P46	Exc_L6_THEMIS_C6orf48	Inh_L3_5_SST_MAFB	Exc_L4_5_RORB_LCN15	Inh_L1_VIP_TNFAIP8L3	Exc_L5_6_FEZF2_CYP26B1	Exc_L6_THEMIS_EGR3	Inh_L4_6_SST_MTHFD2P6	Exc_L5_6_RORB_LINC00320	Oligo_L4_6_MOBP_COL18A1	Inh_L1_VIP_PCDH20	K1	Inh_L1_2_PAX6_SCGN	Exc_L6_FEZF2_FAM95C	Inh_L5_6_SST_TH	Exc_L4_5_RORB_RPL31P31	Exc_L6_FEZF2_TBCC	Astro_L1_FGFR3_FOS	Exc_L4_5_RORB_AIM2	Inh_L3_4_PVALB_HOMER3	Exc_L5_6_THEMIS_GPR21	VLMC_L1_3_CYP1B1	Exc_L2_4_RORB_GRIK1	Exc_L5_6_THEMIS_IL7R	Inh_L3_VIP_CBLN1	Exc_L4_6_RORB_HPCA	Exc_L4_RORB_CACNG5	Exc_L3_4_RORB_FOLH1B	Inh_L1_6_PVALB_SCUBE3	Inh_L5_6_LAMP5_SFTA3	Inh_L1_6_VIP_RCN1	Exc_L5_6_FEZF2_RSAD2	Exc_L3_5_THEMIS_UBE2F	Exc_L2_3_LINC00507_RPL9P17	Exc_L3_5_FEZF2_ONECUT1	Astro_L1_6_FGFR3_ETNPPL	MP	Inh_L5_PVALB_CNTNAP3P2	Exc_L6_FEZF2_VWA2	Inh_L1_6_LAMP5_CA13	Inh_L1_3_VIP_SSTR1	Inh_L5_6_SST_ISOC1	Exc_L3_THEMIS_PLA2G7	Inh_L1_3_VIP_ZNF322P1	Inh_L2_4_VIP_LGI2	Exc_L5_6_THEMIS_THTPA	Inh_L1_4_LAMP5_DUSP4	Exc_L6_THEMIS_LINC00343	GABA3	Inh_L1_6_VIP_RGS16	Exc_L6_FEZF2_P4HA3	Inh_L1_4_VIP_CHRNA2	Inh_L1_3_PAX6_NABP1	Inh_L1_3_VIP_CCDC184	Inh_L1_VIP_SOX11	Exc_L3_LINC00507_CTXN3	Exc_L3_5_THEMIS_ELOF1	Inh_L6_LHX6_GLP1R	Inh_L1_LAMP5_GGT8P	GABA2	Inh_L5_6_SST_KLHL14	Oligo_L4_6_OPALIN	Exc_L5_FEZF2_SCN7A	Inh_L5_6_PVALB_STON2	Exc_L4_RORB_BHLHE22	Inh_L1_2_VIP_RPL41P3	Exc_L5_6_THEMIS_TMEM233	Inh_L2_4_PVALB_C8orf4	Exc_L6_FEZF2_ETV4	K2	Inh_L1_LAMP5_NDNF	Exc_L5_6_FEZF2_MYBPHL	Inh_L2_5_VIP_TOX2	Exc_L6_FEZF2_SLITRK6	Inh_L4_5_PVALB_TRIM67	Exc_L4_5_RORB_LINC01474	Exc_L3_5_RORB_HSPB3	Inh_L6_SST_NPY	Inh_L1_2_PVALB_TAC1	Exc_L5_6_FEZF2_CABP7	Inh_L2_4_VIP_DSEL	Exc_L3_4_RORB_RPS3P6	Exc_L5_RORB_SNHG7	Inh_L1_3_VIP_GGH	Micro_L1_6_C1QC	Inh_L1_PAX6_GRIP2	Inh_L1_6_VIP_PENK	Exc_L3_5_RORB_CD24	Exc_L3_4_RORB_PRSS12	Inh_L2_4_SST_AHR	Exc_L3_RORB_CARTPT	Exc_L3_4_RORB_SEMA6D	Astro	Inh_L1_3_PVALB_WFDC2	Astro_L1_FGFR3_MT1G	Micro	Peri_L1_6_MUSTN1	Exc_L4_5_RORB_ASCL1	Exc_L5_6_FEZF2_ANKRD20A1	Inh_L2_6_VIP_VIP	Inh_L3_6_PVALB_MFI2	Inh_L1_VIP_PRSS8	Exc_L4_RORB_CCDC168	Inh_L1_ADARB2_ADAM33	OPC	OPC_L1_6_MYT1	Exc_L6_FEZF2_TBC1D26	Exc_L3_LINC00507_PSRC1	Exc_L5_FEZF2_MORN2	Inh_L3_6_VIP_KCTD13	Endo_L2_5_CLDN5	Inh_L1_3_VIP_ACHE	Oligo	Inh_L5_6_PVALB_FAM150B	Exc_L3_5_FEZF2_DCN	Inh_L1_PAX6_CA4	Exc_L6_FEZF2_KRT17	Exc_L5_RORB_LINC01202	Inh_L6_LAMP5_ANKRD20A11P	Exc_L3_5_RORB_CMAHP	Inh_L1_5_VIP_KCNJ2	Exc_L5_FEZF2_DYRK2	Inh_L1_ADARB2_DISP2	GABA1	Exc_L5_6_THEMIS_OR1J1
RBR	487.3115	585.5308	722.2787999999999	623.1396000000001	485.0406	650.3027	598.076	552.2611	517.4584	589.4134	658.5517	523.0203	579.6742999999999	629.2795	782.1323000000001	642.7387	575.3091	588.5289	461.55969999999996	584.9445000000001	527.3685	454.75339999999994	683.7085	872.3651000000001	647.3989	578.1457999999999	1631.3482	682.7102	521.9198	506.5847	493.5436000000001	633.7965999999999	602.9982	557.6958999999999	532.5806	498.47520000000003	678.3911	531.2193	537.7334	570.4375	533.5403	597.6075	608.9189	525.9923	520.9692	562.7781000000001	547.7245	501.33770000000004	600.3937999999999	706.2777	665.7752	469.46369999999996	560.4691	424.3764	552.305	459.2707	654.9519	520.5604000000001	554.3115	767.0807000000001	524.6021000000001	516.7904	592.8428	459.01130000000006	564.4377999999999	562.6612	639.9171	607.2090000000001	608.2423	590.8122	600.7345	549.5361	618.0832	438.364	559.6721	571.5772	560.8937	480.73900000000003	504.75649999999996	588.2026	525.3881	608.8843	503.0772	683.2729	580.4019	556.6231	503.90630000000004	552.5278	553.105	736.7125	591.2087	482.2077	631.9688000000001	601.2408	587.3602000000001	580.6348	616.4346	1114.1817999999998	561.2623	803.1487	497.4823	737.8453	718.1715999999999	493.3435	579.7475	559.8422	472.02700000000004	599.4279	536.8002	515.1747	581.1492	498.4135	521.2495	527.8878	563.2333	797.4515	529.4295	575.0204000000001	619.7384	521.0933	508.0248	462.9939	505.96549999999996	718.3868	571.2182	563.0388	613.2576	536.2046	448.39199999999994	540.9612
RING_Single	9574.756999999998	12026.1381	9540.6386	10828.4367	10584.1067	9994.172700000001	10951.4355	9574.027600000001	10353.8587	10037.3407	10238.0745	9743.2408	9904.0981	10958.9306	10510.059400000002	9641.1509	10487.4579	10424.4978	10030.401999999998	9998.9557	9814.3846	10186.3806	9771.3577	10603.301099999999	9978.7699	10219.2903	13368.026600000001	9446.6244	9721.050799999999	9903.6434	9708.286199999999	10010.8096	10878.811299999998	10311.0284	9761.6874	10195.1944	10087.254799999999	10624.1357	9890.3387	11212.166899999998	9023.670900000001	10201.284899999999	10217.801300000001	10006.359199999999	9221.1701	9929.9216	9900.608400000001	10175.550599999999	10042.582599999998	10033.091800000002	10023.6125	9615.4366	10267.3281	9805.1432	9578.863099999999	10590.913299999998	9980.252	9869.2124	10373.7415	10586.8619	10383.073199999999	10215.5081	10344.249499999998	9927.6401	10113.8936	11088.419600000001	10079.178500000002	11063.3256	10185.878099999998	9475.4955	9752.895500000002	10298.170699999999	9906.98	10491.755599999999	9982.1473	9525.4254	9950.982500000002	10259.926899999999	10455.5444	10078.7993	9838.6977	10747.6447	9772.9856	10618.9175	10207.2313	9774.5363	9417.809699999998	11051.5527	9410.367999999999	9649.222700000002	9870.962200000002	10577.7719	10402.159099999999	9985.8604	10166.688699999999	11099.8873	10387.396099999998	8609.1365	10186.3569	9765.412100000001	10063.8911	10976.9192	9652.2071	10040.4864	9906.272700000001	9819.8305	9301.2752	9409.703400000002	9434.1355	10422.2134	9592.070800000001	10243.0383	10979.884399999999	11501.9968	10166.995900000002	11749.5589	10028.6093	9982.7921	9736.712199999998	10532.6232	9564.971699999998	10227.2671	10298.959900000002	10938.4551	9828.036199999999	10224.507699999998	11266.716800000002	10514.237799999999	9679.3718	10733.1019
Uncategorized	4118.9411	4768.3535	4384.8294	4009.0972	4300.7664	4109.6418	4892.597100000001	3990.057	4384.624600000001	4197.5504	4418.7684	4100.2371	4041.9796000000006	4172.3085	4107.188099999999	4372.7778	4799.6608	4198.5721	4153.8289	4859.5242	4193.9765	4687.6108	3825.9894000000004	4153.4033	4064.9363999999996	4387.4722	4179.9362	4034.9874999999997	3831.1277	4271.223	4305.3292	4195.6849	4245.1868	4255.975199999999	3980.192499999999	4426.5214	4270.7494	4874.1956	3860.0112	3923.552	4319.5857	4851.0513	4159.1297	3986.561	4075.8244	3997.8262	4617.0489	3888.2200000000003	3793.3181	4119.9367	3706.3936000000003	4061.5843999999997	4290.4866999999995	4142.1589	4113.1633	4001.3972999999996	4249.7651000000005	4351.4625	4261.6032	4623.2457	3888.4232999999995	4277.8626	4295.5193	3958.9357	4390.3438	4260.491599999999	4337.0954	4478.9925	4147.446	4140.9637999999995	4220.741300000001	4330.063099999999	4023.2998000000002	3830.3924	4447.7264	3897.1081	4222.6811	4209.242200000001	4324.502	4103.851500000001	4112.3323	4437.441199999999	4548.352800000001	4462.7809	4131.5646	3814.2457	4308.0494	4734.1607	4247.8327	4243.223599999999	4164.9684	4031.3166	4296.6106	4420.3817	4357.3887	4345.2778	4135.5018	4929.6759	4052.4193	4340.6001	4773.9597	4062.6127	4217.202	3984.7178	3798.1017	4481.336299999999	3877.3017999999997	3899.4062999999996	4095.3914999999997	4402.8547	4404.646999999999	4062.21	4510.0456	4180.2051	4143.9558	4411.2377	4022.6917999999996	3916.7632999999996	4327.2203	3758.0086	4184.351200000001	4155.9385	4176.0097	4650.8865000000005	4212.9115	3962.9469	4259.1819	3800.2879	4672.2459	4076.7438999999995
UBOX	312.9358	239.6695	251.5955	238.71730000000002	240.6517	246.42690000000002	282.1325	269.49600000000004	218.9325	268.0715	224.36239999999998	238.81740000000002	279.9486	232.5914	258.0191	243.41500000000002	245.8834	241.49290000000002	228.39840000000004	264.0126	233.5563	199.2747	415.97170000000006	221.1569	241.64939999999999	235.39149999999998	496.76509999999996	223.035	241.19129999999998	218.7862	216.10519999999997	236.86909999999997	221.5967	220.64389999999997	243.0806	273.7423	250.92410000000004	235.32800000000003	214.2386	261.43489999999997	270.5066	243.8579	249.5337	261.0296	241.76409999999998	239.58640000000003	281.32730000000004	243.0039	237.93089999999998	214.9915	267.5782	246.54870000000003	215.78719999999998	247.6437	256.81890000000004	243.2556	234.83700000000002	268.5955	344.24840000000006	238.6051	228.1948	238.9257	251.2922	292.7503	216.3862	268.83110000000005	291.9077	261.1929	261.132	230.2126	225.5257	227.28740000000002	243.9124	224.77839999999998	206.684	238.4197	248.24020000000002	241.3537	224.5258	207.6246	222.895	234.2482	175.7847	246.63920000000002	348.9947	343.9382	224.53180000000003	209.4416	233.6501	260.2823	358.7922	299.5043	240.3899	227.56759999999997	287.3164	205.26350000000002	245.97469999999998	253.8254	214.68939999999998	273.8789	403.45770000000005	125.3208	261.58320000000003	243.91080000000002	265.20689999999996	292.7185	215.19170000000003	251.782	246.9426	302.9882	300.4536	250.43169999999998	197.62109999999998	184.33030000000002	249.88920000000002	401.20820000000003	243.5807	298.77979999999997	245.275	202.4721	235.2517	212.0321	253.41660000000002	272.6118	255.89790000000002	264.4676	305.2251	274.8607	232.41340000000002	297.9027
DUB	332.1175	373.281	348.3626	369.1175	341.11170000000004	385.2503	353.9737	355.16409999999996	372.5422	230.0834	327.7604	373.9342	353.7406	365.3357	383.82270000000005	348.5562	280.1684	384.6452	341.9785	334.0486	404.4968	348.9825	306.8405	475.0211	361.9353	335.6978	427.6087	382.1557	368.3518	408.3333	421.80010000000004	409.72530000000006	345.3131	406.2152	333.8481	354.1339	323.7222	344.11429999999996	356.1706	409.69380000000007	305.70180000000005	356.293	336.9889	334.0437	334.14639999999997	395.4746	415.06879999999995	389.0147	354.9913	343.33709999999996	332.395	341.2247	327.3969	311.68170000000003	399.67060000000004	392.0548	328.9564	500.0445	459.50910000000005	314.3175	346.161	387.7306	369.4748	315.7786	337.0539	377.13480000000004	372.6292	284.6946	332.10850000000005	400.6961	397.54110000000003	352.6767	363.9576	355.8938	299.7536	334.9203	335.75440000000003	395.58029999999997	394.2627	415.0579	372.4825	351.96310000000005	307.2197	569.7907	342.7796	326.0581	365.0095	391.1062	414.26890000000003	418.7024	362.8426	356.22	337.8287	338.25509999999997	360.82849999999996	374.6609	354.81129999999996	386.8494	360.7042	248.98000000000002	261.0518	265.5999	376.70089999999993	369.239	362.7976	381.3413	352.3776	402.8121	345.4076	403.8315	383.693	355.4376	344.8016	335.1091	319.10810000000004	453.87649999999996	370.10260000000005	386.8349	439.67900000000003	361.588	352.72069999999997	355.77279999999996	361.02020000000005	366.9801	385.06129999999996	357.5563	344.3635	458.5152	459.904	321.8473
HECT	1889.754	2321.9407	1698.1822000000002	1675.2076	2247.6759	1966.9926000000003	2162.5533	1601.879	2288.4820999999993	2092.8585	1972.2638999999997	1837.2231000000002	1700.7372	2187.1728000000003	1576.7723999999998	1823.9592	2199.4079	2106.6567	2142.4447	1903.0813000000003	1992.8202000000003	2079.184	1437.476	1876.8619	1763.0404000000003	1924.8468000000003	3135.8863999999994	1859.8343	1720.1507	1941.9042	1755.0025999999998	1837.8041	2367.0241	1757.8807000000002	1827.3853	1976.6778	1922.2071	2665.5015999999996	1975.2629000000002	1955.6614999999997	1593.5900999999997	2368.0855	1709.3942	2199.2727999999997	1871.6230999999998	1862.2978000000003	1728.6066	2229.6245	1670.8003	1719.7479	1821.5295	1735.0157000000004	2167.9685999999997	1823.1913	1659.1016	2237.8525999999997	1662.1111	1954.6033	1621.6555999999998	2022.2229000000002	1952.4388	2061.6128	1732.9421	1990.0809000000002	1852.9005	1861.6231000000002	1704.5652	2531.4221000000007	1931.438	2118.9114999999997	1669.2639000000001	2097.5814	1751.3982999999998	2149.0490999999997	2175.16	1749.4563	1876.6633999999997	1805.3537999999999	2012.3948999999998	2123.8491	1891.9080000000001	2060.2114	1916.8614000000002	1992.4442	2429.9829999999997	1845.3504999999998	1817.4172999999998	2577.4164999999994	1654.1104999999998	1648.9233	2260.9775	1835.3284	1906.5886999999998	1999.4781	1641.8045000000002	2417.5139999999997	2114.8876	1799.6009000000001	1726.2366	1565.823	1236.1112	1580.1002999999998	1804.1346999999996	2348.19	1634.3552	1758.2207	1828.1127	1864.2906999999998	1736.538	2311.8379	1663.5401000000002	2146.6796	2223.3134000000005	2402.4885000000004	1718.2999	1786.5377	1897.8994	1834.0698	1592.7960999999998	2277.7129	1803.9958000000001	2212.5094	2098.8294	1696.6241999999997	1717.4245	1825.2560999999998	2004.0513	1907.7219	1697.3644000000004	2204.6232
RING_Complex	8627.967699999997	8719.817399999998	8339.478099999998	8964.930300000004	8919.7767	8505.527900000001	8991.7002	8185.717400000001	8672.3192	8652.9777	9368.537699999999	8618.1236	8181.681400000001	8592.409399999999	8949.5745	9418.843200000003	8493.8723	9053.1861	8517.122	8491.911100000001	8350.3626	8935.986499999999	8754.6739	9490.0011	9164.775800000003	9151.373099999999	8841.323400000001	8642.350299999998	8665.4192	8695.453399999997	8989.0588	8605.583400000001	8782.1461	8554.1181	8731.531999999997	8684.846100000002	9374.4727	9009.631900000002	8406.909	8656.5354	8310.398000000001	9417.696500000002	8826.8575	8811.0875	8551.49	8954.681799999998	8627.3287	9382.2971	8421.2867	8755.08	9188.563599999998	8666.2312	8502.4872	7469.691400000001	8385.688099999998	9049.014100000002	8917.809399999998	8401.360700000001	8478.619400000001	10103.314300000004	9157.418800000001	9050.097099999999	8999.7452	9478.4349	7673.252900000001	8175.343299999998	9183.431799999998	9288.171900000001	8514.8611	8880.774199999998	8851.003900000002	8661.899500000001	8943.667899999999	8967.442100000002	8368.052399999999	8368.579200000002	8710.741600000001	8808.2277	9063.070199999998	9354.103700000003	8500.6392	8836.8742	8205.337599999997	9478.3339	9769.6319	8925.056499999997	8872.786900000001	9017.6638	8601.100199999999	8358.1884	7836.180699999999	8265.375300000002	9245.766900000002	8737.8168	8661.5533	8847.993900000001	8726.6623	8121.874899999998	8435.822199999999	9211.9867	10720.4535	6491.4001	9744.943200000002	8935.974699999999	9445.0375	9361.708600000002	8805.5795	8989.433	8276.4781	9630.5977	8842.1595	8533.2435	8922.562799999998	9579.4627	8665.660499999996	8190.5179	8523.443000000003	8391.0025	8716.5863	9268.061599999997	8825.147399999998	9264.476999999997	8454.278400000001	8531.045300000002	8507.7789	8380.846400000002	9576.105500000001	8559.448599999998	8430.642300000001	8734.283500000001
E2	486.2885	335.361	381.43510000000003	358.2932	400.3059	436.276	392.10429999999997	376.75710000000004	410.4025	355.4245	406.65500000000003	533.2911	343.98620000000005	364.77939999999995	267.3195	403.1611	308.7926	383.1638	389.7891	406.8494	451.6672	406.7978	226.31099999999998	567.1604	425.6035	426.6932	375.0724	443.3881	424.41419999999994	367.14009999999996	467.6145	421.8551	412.7896	424.14469999999994	347.14099999999996	351.4019	384.4377999999999	464.24050000000005	403.22	270.5127	366.0593	371.0479	367.48670000000004	444.6689	362.4223	346.4202	443.12160000000006	453.7119	443.888	426.1512	371.2314	443.164	423.46810000000005	270.4293	438.1474	437.86	395.32000000000005	317.5395	534.0642	501.2522	434.6696	432.6978	345.75399999999996	377.48040000000003	356.4937	401.61650000000003	410.21400000000006	424.40289999999993	368.8076	496.6507	420.32759999999996	366.1786	380.053	440.5743	429.64789999999994	416.21190000000007	343.8093	345.4149	437.55719999999997	418.28150000000005	408.9022	355.2926	340.3553	449.704	388.2212	353.86400000000003	419.496	413.5129	381.2285	379.58179999999993	434.7691	333.27299999999997	403.6566	415.139	396.15840000000003	353.8855	398.9785	205.9391	409.5115	360.98890000000006	693.3799999999999	362.06919999999997	417.00739999999996	397.14970000000005	399.071	380.6358	356.19590000000005	466.17210000000006	410.15619999999996	189.5512	454.37479999999994	424.4137	401.3338	389.59569999999997	386.6121	316.5738	430.41049999999996	325.0834	365.4981	456.1977	369.5058	386.7509	443.30289999999997	422.5538	438.73819999999995	354.789	498.4973	522.1633	428.59079999999994	425.06609999999995
