uniprot	unigene	gene	index	order
F7HAE9_MACMU	RFC2	RFC2	13083	0
F6WJ98_MACMU	SLC5A10	SLC5A10	14511	0
F6S7Q8_MACMU	CCL26	CCL26	2633	0
A0A5F8A690_MACMU	NHLH2	NHLH2	10272	0
F7FQD6_MACMU	GP2	GP2	6411	0
A0A5F8ACA7_MACMU	OR10W1	OR10W1	10801	0
F7HES3_MACMU	OR6N1	OR6N1	11019	0
F7DR32_MACMU	DGUOK	DGUOK	4253	0
F7GL19_MACMU	CSPG4	CSPG4	3730	0
F7ACM9_MACMU	ARID5B	ARID5B	933	0
A0A5F7ZBV3_MACMU	TSPAN7	TSPAN7	16647	0
F6USA4_MACMU	PYHIN1	PYHIN1	12696	0
F7CCG1_MACMU	OR11A1	OR11A1	10803	0
F6Q4Y7_MACMU	HBP1	HBP1	6807	0
F7HTT9_MACMU	CFI	CFI	3040	0
A0A1D5QGJ9_MACMU	RXRA	RXRA	13601	0
F6VKP2_MACMU	KRT79	KRT79	8303	0
A0A1D5RKF3_MACMU	ZAR1L	ZAR1L	17549	0
F7H277_MACMU	MKS1	MKS1	9441	0
F6VGG2_MACMU	POLG	POLG	12026	0
F7HAB4_MACMU	ZNF385B	ZNF385B	17914	0
F6Z3A4_MACMU	WFS1	WFS1	17394	0
F6V5Q9_MACMU	CD5	CD5	2760	0
F7FG95_MACMU	PPP1R13B	PPP1R13B	12175	0
A0A5F7ZHK5_MACMU	EML4	EML4	4904	0
A0A5F7ZGK0_MACMU	PRSS50	PRSS50	12459	0
F6TAJ6_MACMU	ACTL7A	ACTL7A	199	0
A0A1D5R867_MACMU	NCAM1	NCAM1	10066	0
A0A5F8A532_MACMU	INTS1	INTS1	7592	0
F6Q514_MACMU	RASGEF1A	RASGEF1A	12897	0
A0A5F7ZK63_MACMU	TMEM92	TMEM92	16201	0
F6QHA2_MACMU	CASKIN1	CASKIN1	2396	0
F7GF43_MACMU	OSM	OSM	11091	0
A0A5F7ZV60_MACMU	MAFA	MAFA	8944	0
F7C3P6_MACMU	ZC3H7B	ZC3H7B	17616	0
A0A5F8AU45_MACMU	DRG2	DRG2	4542	0
F6ZWU8_MACMU	ZNHIT2	ZNHIT2	18226	0
A0A1D5Q9W4_MACMU	BRAF	BRAF	1533	0
F6RAY8_MACMU	PLTP	PLTP	11934	0
A0A5F8A0E8_MACMU	RUNX2	RUNX2	13585	0
F7GS58_MACMU	JAK3	JAK3	7765	0
A0A5F8ANV0_MACMU	PHLDA1	PHLDA1	11660	0
A0A5F7ZAH1_MACMU	PMAIP1	PMAIP1	11949	0
F7HQZ5_MACMU	ZC3H13	ZC3H13	17608	0
A0A5F8AG66_MACMU	ZNF274	ZNF274	17851	0
F6ZRY3_MACMU	PLEKHH2	PLEKHH2	11896	0
F7E1T5_MACMU	PPP1R8	PPP1R8	12206	0
A0A1D5R0T1_MACMU	IGFLR1	IGFLR1	7411	0
F6R520_MACMU	SRSF1	SRSF1	15064	0
A0A1D5R455_MACMU	RYR3	RYR3	13608	0
F6PUG5_MACMU	GLDC	GLDC	6263	0
F6V497_MACMU	USP45	USP45	17100	0
F6SYT7_MACMU	SHISA9	SHISA9	14118	0
A0A5F8A9Z1_MACMU	FGF22	FGF22	5678	0
A0A5F7ZVI8_MACMU	STARD9	STARD9	15163	0
F7GPQ7_MACMU	LIX1L	LIX1L	8628	0
F7E098_MACMU	CXCL12	CXCL12	3859	0
A0A5F8APY6_MACMU	BCL7B	BCL7B	1399	0
F7HSW0_MACMU	SERPINE2	SERPINE2	13959	0
A0A5F7ZB58_MACMU	ICA1	ICA1	7293	0
A0A1D5Q1K7_MACMU	AKR1B1	AKR1B1	471	0
A0A5K1UXI3_MACMU	ZBTB4	ZBTB4	17579	0
A0A5K1TWN5_MACMU	REPS1	REPS1	13065	0
F7AA22_MACMU	CALCOCO1	CALCOCO1	2301	0
F6QEK6_MACMU	SPAG1	SPAG1	14860	0
A0A5F8AFZ7_MACMU	ARHGAP32	ARHGAP32	882	0
F7HHY3_MACMU	IL19	IL19	7473	0
A0A5F8A4W9_MACMU	MC3R	MC3R	9177	0
F6V538_MACMU	FAM177B	FAM177B	5312	0
F7HGF9_MACMU	DBH	DBH	4023	0
F6ZW60_MACMU	BPTF	BPTF	1532	0
A0A1D5R5G4_MACMU	SLAMF9	SLAMF9	14204	0
F7ES13_MACMU	NUDT1	NUDT1	10612	0
F6VJM4_MACMU	SV2B	SV2B	15326	0
F6QYE8_MACMU	SFMBT2	SFMBT2	14007	0
F6VIP3_MACMU	GATA2	GATA2	6081	0
F6X5F4_MACMU	SHQ1	SHQ1	14126	0
F6X5T2_MACMU	NOL6	NOL6	10400	0
F6RYL2_MACMU	NDNF	NDNF	10114	0
F7AEK9_MACMU	KRT2	KRT2	8268	0
A0A5F8AL80_MACMU	ANXA11	ANXA11	712	0
F7C798_MACMU	MAPK11	MAPK11	9080	0
A0A5F8AHZ8_MACMU	DOHH	DOHH	4476	0
F6W7E4_MACMU	RBM24	RBM24	12959	0
A0A5F7Z7K2_MACMU	CYP4F11	CYP4F11	3963	0
A0A5F8A440_MACMU	GCG	GCG	6114	0
A0A5F7ZRY4_MACMU	ZNF142	ZNF142	17780	0
A0A1D5RK49_MACMU	CCDC85C	CCDC85C	2596	0
F6WFR4_MACMU	NPHP4	NPHP4	10459	0
F7DRN5_MACMU	TCTN3	TCTN3	15645	0
A0A5F8API7_MACMU	CAMSAP3	CAMSAP3	2340	0
F7EIQ2_MACMU	HCN2	HCN2	6820	0
A0A5F7ZYZ8_MACMU	AHR	AHR	418	0
A0A5K1VU78_MACMU	USP36	USP36	17091	0
F6ZD79_MACMU	TMEM230	TMEM230	16101	0
